1,Which environment variable is used to set the java path?,MAVEN_Path,JavaPATH,JAVA,JAVA_HOME,JAVA_HOME,T001,1
2,Which of the below is not a Java Profiler?,JProfiler,Eclipse Profiler,JVM,JConsole,Eclipse Profiler,T001,1
3,Which class provides system independent server side implementation?,Server,ServerReader,Socket,ServerSocket,ServerSocket,T001,1
4,What will be the output of the following Java code?,32,33,24,25,32,T001,1
5,What will be the output of the following Java program?,2 2,3 3,Runtime Error,Compilation Error,Compilation Error,T001,1
6,Which of this package is used for invoking a method remotely?,java.rmi,java.awt,java.util,java.applet,java.rmi,T001,1
7,Which of this method of class String is used to obtain a length of String object?,get(),Sizeof(),lengthof(),length(),length(),T001,1
8,What will be the output of the following Java code?,0,value stored in arr[0],0,Garbage value,Garbage value,T001,1
9,How to sort an array?,Array.sort(), Arrays.sort(),Collection.sort(),System.sort(),Arrays.sort(),T001,1
10,Which of these class is used to read from byte array?,InputStream,BufferedInputStream,ArrayInputStream,ByteArrayInputStream,ByteArrayInputStream,T001,1
11,What will be the output of the following Java program?,4,5,6,7,5,T001,2
12,What does setAutoCommit(false) do?,commits transaction after each query,explicitly commits transaction,does not commit transaction automatically after each query,never commits transaction,does not commit transaction automatically after each query,T001,2
13,“out” is implicit object of which class?,javax.servlet.jsp.PrintWriter,javax.servlet.jsp.SessionWriter,javax.servlet.jsp.SessionPrinter,javax.servlet.jsp.JspWriter,javax.servlet.jsp.JspWriter,T001,2
14,Which tag is used to set a value of a JavaBean?,<c:set>,<c:param>,<c:choose>,<c:forward>,<c:set>,T001,2
15,Which of the following is not a directive in JSP?,page directive,include directive,taglib directive,command directive,command directive,T001,2
16,Which of the following allows us to call generic methods as a normal method?,Type Interface,Interface,Inner class,All of the mentioned,Type Interface,T001,2
17,What is the significance of Matcher class for regular expression in java?,interpretes pattern in the string,Performs match in the string,interpreted both pattern and performs match operations in the string,None of the mentioned.,interpreted both pattern and performs match operations in the string,T001,2
18,What would be the output of the following code snippet if variable a=10?,1 2 ,2 3,1 3,3,3,T001,2
19,What should not be done to avoid deadlock?,Avoid using multiple threads,Avoid hold several locks at once,Execute foreign code while holding a lock,Use interruptible locks,Execute foreign code while holding a lock,T001,2
20,"In the following Java code, what can directly access and change the value of the variable name?",any class,only the Target class,any class in the test package,any class that extends Target,any class in the test package,T001,2
21,What will be the output of the following Java code?,"Hello, i love java",i love ja,lo i lo,llo i l,llo i l,T001,3
22,How can we move from one desired step to another step?,breakpoints,System.out.println,logger.log,logger.error,breakpoints,T001,3
23,What happens when the value of variable change?,changed value pop on the screen,variable changes are printed in logs,dump of variable changes are printed on the screen on end of execution,variable tab shows variables highlighted when values change,variable tab shows variables highlighted when values change,T001,3
24,What will be the output of the following Java program?,1,2,3,4,2,T001,3
25,What is the range of short data type in Java?,-128 to 127,-32768 to 32767,-2147483648 to 2147483647,None of the mentioned,-32768 to 32767,T001,3
26,What will be the output of the following Java statement?,Infinity,0,NaN,all of the mentioned,all of the mentioned,T001,3
27,Which of these method is used to reduce the capacity of an ArrayList object?,trim(),trimSize(),trimTosize(),trimToSize(),trimToSize(),T001,3
28,Which of these instance cannot be created?,Integer instance,Generic class instance,Generic type instance,Collection instances,Generic type instance,T001,3
29,What will be the output of the following Java code?,10 20,20 10,20 40,40 20,20 10,T001,3
30,It is a good practise to not throw which exception in close() method of autocloseable?,IOException,CustomException,InterruptedException,CloseException,InterruptedException,T001,3
,    class test ,,,,,,,
,    {,,,,,,,
,        int a;,,,,,,,
,        int b;,,,,,,,
,"        test(int i, int j) ",,,,,,,
,        {,    System.out.println(a);,,,,,,
,            a = i;,,,,,,,
,            b = j;,,,,,,,
,        },,,,,,,
,        void meth(test o) ,,,,,,,
,        {,,,,,,,
,            o.a *= 2;,,,,,,,
,            O.b /= 2;,,,,,,,
,        }          ,,,,,,,
,    }    ,,,,,,,
,    class Output ,,,,,,,
,    {,,,,,,,
,        public static void main(String args[]),,,,,,,
,        {,,,,,,,
,"            test obj = new test(10 , 20);",,,,,,,
,            obj.meth(obj);,,,,,,,
,"            System.out.println(obj.a + "" "" + obj.b);        ",,,,,,,
,        } ,,,,,,,
,    },,,,,,,
